x,y
0.1,1.09791108987907
0.2,1.11799196321096
0.3,1.13629328816995
0.4,1.15270648736531
0.5,1.16714380536181
0.6,1.17953541181838
0.7,1.1898270756712
0.8,1.19797829620068
0.9,1.20396079904017
1,1.20775732378391
1.1,1.20936064508881
1.2,1.20877278149447
1.3,1.206004356105
1.4,1.20107408124992
1.5,1.19400834567914
1.6,1.18484088809211
1.7,1.17361254514231
1.8,1.16037106573142
1.9,1.14517098661362
2,1.12807356723923
2.1,1.10914678452872
2.2,1.08846539102178
2.3,1.06611104272281
2.4,1.04217250609383
2.5,1.01674595715811
2.6,0.989935389697846
2.7,0.961853154168382
2.8,0.932620654278701
2.9,0.902369234183363
3,0.871241295685323
3.1,0.839391691201347
3.2,0.806989443283804
3.3,0.774219842886225
3.4,0.741286972056011
3.5,0.708416674989752
3.6,0.675859952300918
3.7,0.64389665815017
3.8,0.61283921176298
3.9,0.583035760604915
4,0.554871822477362
4.1,0.528768889541541
4.2,0.50517788726255
4.3,0.484565003722507
4.4,0.467387730627826
4.5,0.454060621176768
4.6,0.444913625085811
4.7,0.440150233695014
4.8,0.439815900449623
4.9,0.44378654346799
5,0.451781386884354
5.1,0.463396389069607
5.2,0.47814848344983
5.3,0.495519706501029
5.4,0.514993394347474
5.5,0.536079232171663
5.6,0.55832762625404
5.7,0.58133575736237
5.8,0.604748071159617
5.9,0.628253550341655
6,0.651581450212735
6.1,0.674496564292929
6.2,0.696794624155462
6.3,0.71829813079406
6.4,0.738852729249992
6.5,0.758324135460039
6.6,0.776595573297149
6.7,0.793565658986834
6.8,0.809146665732596
6.9,0.823263105223037
7,0.835850570032378
7.1,0.84685478924558
7.2,0.856230857684357
7.3,0.863942606333567
7.4,0.869962087799021
7.5,0.874269155886998
7.6,0.876851122788004
7.7,0.877702481007779
7.8,0.876824680256393
7.9,0.87422595211121
8,0.869921177529274
8.1,0.863931794304206
8.2,0.856285743437398
8.3,0.847017455211626
8.4,0.836167877602446
8.5,0.823784551624371
8.6,0.809921740373013
8.7,0.794640620984308
8.8,0.778009551585045
8.9,0.760104428653397
9,0.741009154131649
9.1,0.720816236189609
9.2,0.699627552699726
9.3,0.677555312062241
9.4,0.654723251502107
9.5,0.631268117262689
9.6,0.607341472144279
9.7,0.583111869766538
9.8,0.558767415193895
9.9,0.534518687351702
10,0.510601913301398
